road,tract
339,31
42,40
76,31
76,31
42,40
42,40
340,18
182,36
42,40
341,19
52,19
103,40
52,19
108,40
104,41
112,41
41,19
215,19
112,41
41,19
41,19
41,19
111,19
56,19
56,19
112,44
43,18
43,18
104,41
43,18
43,18
43,18
35,0
122,44
35,0
122,44
122,44
122,44
35,0
122,44
36,0
122,46
122,46
35,0
122,46
35,0
35,0
43,0
122,46
122,46
88,0
122,48
314,0
122,48
90,0
103,38
89,0
103,38
103,38
103,38
103,38
122,48
82,1
82,1
122,48
42,40
42,40
103,40
103,36
103,36
103,36
105,37
82,1
103,37
82,1
51,1
103,38
182,40
182,40
182,40
60,1
51,1
182,40
111,76
182,40
182,40
42,40
103,40
49,14
103,40
42,40
103,40
129,14
129,14
103,40
129,14
103,36
103,36
103,36
129,14
172,14
105,37
103,37
36,14
22,14
36,14
103,38
103,38
103,38
109,38
103,38
22,14
106,38
103,38
42,40
35,15
22,15
42,40
103,40
22,15
22,15
103,36
105,37
103,37
103,38
103,38
103,38
103,38
23,15
109,38
23,15
103,38
22,15
334,36
25,15
22,15
22,15
334,36
22,15
42,40
22,16
22,16
42,40
22,16
25,16
25,16
42,40
182,36
22,16
42,40
42,40
334,36
25,6
334,36
334,36
22,6
111,42
334,40
28,6
28,6
28,6
334,40
28,6
334,40
334,40
111,42
342,6
343,6
111,42
334,36
111,42
344,57
344,57
334,36
345,52
111,42
196,53
111,76
111,76
192,68
111,76
346,108
111,76
346,108
111,76
192,68
111,76
182,40
213,73
213,73
42,40
196,77
103,40
346,109
192,70
103,36
103,36
192,70
105,37
103,37
196,70
103,38
192,70
192,70
103,38
346,109
103,38
201,70
192,70
192,71
103,38
103,38
103,38
192,71
192,71
106,38
207,71
192,71
103,38
213,73
182,40
213,74
213,74
111,76
182,40
214,73
213,73
182,40
111,76
213,73
182,40
213,73
182,40
182,36
213,75
213,73
103,40
213,75
103,40
42,40
213,73
347,75
103,40
347,75
103,40
103,40
217,75
218,75
103,36
103,36
223,75
223,75
103,37
224,75
103,38
103,38
103,38
103,38
227,78
103,38
229,78
106,38
229,78
103,38
103,38
103,38
103,38
223,75
223,75
103,38
122,48
230,79
122,48
230,79
325,79
225,78
122,48
227,78
122,48
185,47
230,79
171,49
122,49
230,79
171,49
348,78
171,49
124,47
324,78
225,78
229,78
225,78
240,82
186,49
240,82
240,82
240,82
240,74
231,78
242,78
95,31
54,31
240,82
54,31
231,78
54,31
54,31
240,83
231,78
240,83
240,83
54,21
54,21
54,21
54,21
240,84
0,3
0,3
47,3
231,78
0,22
239,70
0,22
239,70
0,1
35,1
349,70
35,1
35,1
35,1
35,1
35,1
231,78
350,70
239,71
239,70
60,1
43,1
36,1
43,1
352,71
207,71
207,110
172,14
353,110
22,14
22,15
22,15
22,15
22,15
207,110
207,110
207,111
207,111
207,111
22,15
207,111
22,15
207,111
22,16
22,16
22,16
354,111
22,16
25,16
354,111
25,16
22,16
352,111
22,6
355,111
25,6
131,6
131,6
25,6
25,6
356,111
359,112
360,111
22,6
132,6
132,6
132,6
354,111
360,111
133,6
361,111
132,5
132,5
362,5
364,111
359,112
365,111
306,5
258,68
306,5
235,68
192,71
366,109
13,7
367,109
13,7
367,109
13,7
13,7
367,109
367,109
367,110
5,2
352,110
368,110
5,2
368,110
368,110
368,110
369,110
368,110
5,2
371,110
371,110
352,110
2,5
2,5
352,111
2,5
352,111
352,111
352,111
143,12
352,111
92,51
92,51
144,51
143,13
143,13
35,52
248,52
248,52
35,52
317,53
196,53
317,53
5,2
372,53
373,53
194,81
372,53
39,53
39,53
354,53
372,53
191,53
191,68
2,5
191,53
2,5
5,2
333,68
235,68
2,2
374,68
374,68
237,68
375,68
235,68
36,19
2,2
41,19
338,19
5,2
5,2
36,18
107,39
36,18
5,2
72,18
72,18
36,18
71,2
72,18
100,18
5,2
35,0
35,0
35,0
35,0
43,1
5,2
72,1
92,14
35,14
25,14
40,14
5,2
5,2
40,14
92,32
5,2
35,24
35,24
91,24
35,24
35,24
71,2
35,24
93,24
93,24
40,24
35,55
56,19
56,19
42,19
71,2
5,2
36,18
43,18
43,18
36,18
36,18
2,2
57,0
5,2
2,2
2,5
88,0
2,5
5,2
5,2
89,0
89,0
5,2
71,2
89,1
5,2
89,1
82,1
82,1
5,2
82,1
82,1
82,1
5,2
5,2
82,1
82,1
5,2
82,1
71,2
260,43
5,2
250,43
2,2
260,43
260,43
260,43
260,43
376,99
260,14
260,14
291,2
260,14
260,14
260,14
260,14
289,2
260,14
289,2
250,43
289,2
36,24
36,24
377,2
264,2
36,24
71,2
78,2
63,2
63,2
63,2
40,24
378,2
36,24
40,24
36,24
270,92
316,24
40,24
271,92
273,94
273,94
273,94
270,92
270,92
40,51
40,51
40,52
270,92
40,52
40,52
270,92
134,52
379,52
270,92
380,52
372,52
372,53
270,92
270,92
354,53
270,92
381,53
270,92
273,95
237,113
237,113
287,95
237,113
237,113
276,95
237,113
237,113
277,92
277,92
237,113
237,113
237,113
237,113
281,92
381,53
266,92
266,92
382,92
268,92
268,92
237,113
268,92
268,92
237,113
237,113
268,92
237,53
237,53
268,92
237,113
270,92
237,113
268,92
237,113
237,113
237,113
383,113
237,113
237,113
237,113
383,113
237,113
280,92
237,113
280,92
